Page,Page ID,Reach,Engagements,Reactions,Clicks,Status,Comment
P4 Sörmland Sveriges Radio,192731292251,5544944,442252,46818,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Sveriges Radio,146516072147644,4322411,1569554,87101,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
P4 Extra,299358359881,2609853,621634,68085,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Radiosporten,219032915954,1846946,653468,186832,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
"P4 Väst, Sveriges Radio",514988961867964,1784175,449267,36853,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Sveriges Radio P1,102331493143871,1700611,254999,16500,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
P4 Stockholm Sveriges Radio,302044469838727,1454467,427556,21663,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
P4 Västernorrland Sveriges Radio,108890557329,1314821,478658,45373,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Morgonpasset i P3,273510745125,1196531,273728,23983,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
P4 Kronoberg Sveriges Radio,463634550319238,1159327,679942,33524,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
"P4 Göteborg, Sveriges Radio",203980793528,1068177,522613,21451,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Trafikredaktionen P4 Stockholm,198802480147649,995993,173833,2294,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Sveriges Radio P4,496356157043523,961450,141261,20822,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Barnradion Sveriges Radio,254587614726173,960221,67512,5570,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
P4 Uppland Sveriges Radio,180379287423,935173,316022,16411,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
P4 Sjuhärad Sveriges Radio,174123398422,885643,691611,18302,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
P4 Västmanland Sveriges Radio,296637420037,874986,387117,17507,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
P4 Jönköping Sveriges Radio,164331643514,778490,426281,11730,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
"P4 Skaraborg, Sveriges Radio",166447863943,763054,502401,22052,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Sveriges Radio Finska,113845545366340,746598,102344,19778,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
P4 Halland Sveriges Radio,389256321141398,738859,251017,11953,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
P4 Värmland Sveriges Radio,207905565931679,731991,539619,38513,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
P4 Gävleborg Sveriges Radio,180274803510,704079,284140,20783,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Sveriges Radio P2,153414398057073,680002,82544,16042,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
P4 Kalmar Sveriges Radio,201491826288,632291,255031,13607,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Språket i P1,328492535511,575448,70996,1773,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
P4 Östergötland Sveriges Radio,49709098596,573260,268914,10098,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
P4 Västerbotten Sveriges Radio,177887812285297,559638,228824,18338,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
P4 Dalarna Sveriges Radio,139233259459139,509461,305987,16659,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
